#separator:tab
#html:true
#tags column:3
What is the CREV per-task ritual?	<b>C</b>ontext (switch to right cluster) &rarr; <b>R</b>ead (parse the task, note namespace) &rarr; <b>E</b>xecute (do it, imperative first) &rarr; <b>V</b>erify (confirm with get/describe). Do it every single task.	exam-strategy
What three golden shell shortcuts should you set up first in the exam?	<code>alias k=kubectl</code>, <code>export do="--dry-run=client -o yaml"</code> (the "do" generator), and <code>export now="--force --grace-period=0"</code> (delete now).	exam-strategy
How do you switch kubectl context to a named cluster in the exam?	<code>kubectl config use-context &lt;name&gt;</code>. Always the FIRST action of every task (the C in CREV).	exam-strategy
What is the TRSVR drill loop?	<b>T</b>ask &rarr; <b>R</b>ead &rarr; <b>S</b>olve &rarr; <b>V</b>erify &rarr; <b>R</b>eset. The repeatable practice cycle for each drill.	exam-strategy
What is the LEDGE debug order for a failing app?	<b>L</b>ogs &rarr; <b>E</b>vents &rarr; <b>D</b>escribe &rarr; <b>G</b>et (wide) &rarr; <b>E</b>xec. Work outside-in, cheapest signal first.<pre><code>kubectl logs &lt;pod&gt;                 # app said what?<br>kubectl logs &lt;pod&gt; --previous      # last crashed instance<br>kubectl get events --sort-by=.lastTimestamp<br>kubectl describe pod &lt;pod&gt;          # Events section at bottom<br>kubectl get pods -o wide            # node, IP, restarts<br>kubectl exec -it &lt;pod&gt; -- sh        # poke inside<br>kubectl debug -it &lt;pod&gt; --image=busybox --target=&lt;ctr&gt;  # distroless</code></pre>	troubleshooting exam-strategy
What do the domain weights add up to on the CKA?	Storage 10%, Workloads &amp; Scheduling 15%, Networking 20%, Troubleshooting 30%, Cluster Architecture 25%. Troubleshooting is the biggest single slice.	exam-strategy
What does the ROW-X mnemonic cover for PV access modes?	<b>R</b>WO (ReadWriteOnce), <b>O</b> = ROX (ReadOnlyMany), <b>W</b> = RWX (ReadWriteMany), <b>X</b> = RWOP (ReadWriteOncePod, single pod). Node vs pod scope matters.	storage
What is ReadWriteOnce vs ReadWriteOncePod?	<b>RWO</b>: volume mountable read-write by a single <i>node</i> (many pods on that node OK). <b>RWOP</b>: read-write by a single <i>pod</i> only.	storage
What does RD-R stand for in PV reclaim policies?	<b>R</b>etain (keep data, manual cleanup), <b>D</b>elete (delete backing storage), <b>R</b>ecycle (deprecated scrub). Default for dynamic provisioning is usually Delete.	storage
How does a PVC bind to a PV?	By matching <code>storageClassName</code>, access modes, and a capacity request the PV can satisfy. Binding is exclusive and one-to-one.	storage
